year	month_num	total_hook	total_hook_csh	kg_net_cw	p_average_hook_csh	p_average_butcher_cs	kg_net_export_market_others_cw	total_export	domestic_hook_csh	domestic_hook	price_export_ime_dua_all	price_export_ime_dua_plant	Gasoil_PPI	GLP_PPI	xr_peso	agro_dollars	industry_dollars	agro_pesos	industry_pesos	rain	wage_industrial_food	wage_industrial_food_detrend	big_consumer_3	big_consumer_51	big_consumer_52	quarter	code	price_import_fertilizer	price_import_urea	price_international_beef	price_international_cattle	soy_price	soybean_price	price_international_urea	price_international_dap	novillo_tipo	novillo_tipo_farm	novillo_tipo_industrial	ifg	price_calves140	price_pregnant	p_pigs_hook	p_piglets_hook	p_lamb_hook	total_value	total	FOB_egypt	kg_net_egypt	price_livestock_egypt	FOB_china	kg_net_china	price_livestock_china	FOB_jordan	kg_net_jordan	price_livestock_jordan	FOB_brazil	kg_net_brazil	price_livestock_brazil	FOB_syria	kg_net_syria	price_livestock_syria	FOB_tunisia	kg_net_tunisia	price_livestock_tunisia	FOB_lebanon	kg_net_lebanon	price_livestock_lebanon	FOB_turkey	kg_net_turkey	price_livestock_turkey	price_export_ime_agg	china_import_world_quantity	china_import_world_value	china_import_uruguay_quantity	china_import_uruguay_value	uy_gdp_percapita	china_gdp_percapita	xr_china	oil_wti	us_tbill	kg_net_import_market	price_import_market_index	kg_net_import_market_nouy	price_import_market_index_nouy	kg_net_import_market_uy	price_import_market_index_uy	kg_net_import_market_cw	price_import_market_index_cw	kg_net_import_market_nouy_cw	price_import_market_index_nouy_cw	kg_net_import_market_uy_cw	price_import_market_index_uy_cw	tri	trend
2009	1	48291318.0	47121597.6	33741662.81338866	1.776924900281819	2.2258246023401096	0.0	33741662.81338866	13379934.786611341	14549655.18661134	2.3967856624988335	2.3967856624988335	0.7745594097765846	1.1742417279549424	23.288	7.257557254233831	6.866994557209973	20.06232328586365	18.645657142492126	190.7	115.18	2.8502794336764974	0.0	0.0	0.0	0	20090.0	0.5073158533333334	0.3040291760316784	2.64	0.0	400.92	9.93525	273.75	308.88	1.5375	1.0145833333333334	0.5229166666666667	0.9505	1.0285714285714285	215.0	1.39	1.62	2.371752685874705	6734901.1	6790218.0	0.0	0.0	0.0	0.0	0.0	0.0	722700.0	277400.0	2.6052631578947367	2922080.3	3464570.0	0.8434178844705115	2737520.8	2908848.0	0.9411013569633064	0.0	0.0	0.0	352600.0	139400.0	2.5294117647058822	0.0	0.0	0.0	2391.394281895223	627176.0	1836.0	34563.0	104.0	9451.93244869934	3832.23643246922	6.836	41.71	0.13	44040.26	3.3751451512774904	0.0	0.0	0.0	0.0	62583.527368421055	2.375102143491568	0.0	0.0	0.0	0.0	0	0
2009	2	37270182.7	36370624.4	27656290.118454013	1.835429576914275	2.239118650800483	182658.86579926228	27838948.984253276	8531675.415746722	9431233.715746727	2.557245241200314	2.5456922110106794	0.7119489483723387	1.1528606627868252	23.249	6.902011408008079	6.650626548714578	20.807377797137804	18.89256527347465	360.5	115.23	2.067180299129148	0.0	0.0	0.0	0	20090.0	0.5073158533333334	0.3040291760316784	2.54	0.0	374.45	9.287289473684211	281.25	313.75	1.4729166666666669	1.00625	0.4666666666666667	0.921	1.0571428571428572	210.0	1.37	1.52	2.4276107625774026	733558.8	866550.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	733558.8	866550.0	0.8465279556863424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2479.0039615670366	575973.0	1758.0	91898.0	234.0	9451.93244869934	3832.23643246922	6.8363	39.09	0.3	44007.03	3.0865652601413918	0.0	0.0	0.0	0.0	62536.305789473685	2.172027405284682	0.0	0.0	0.0	0.0	0	1
2009	3	34906644.7	33894317.5	22787560.49448787	1.9779506407821903	2.449518860415175	92604.94960902256	22880165.444096893	11014152.055903107	12026479.25590311	2.5118584806749187	2.4971895005507427	0.694316354671828	1.1191391507302333	23.967	7.128557311051567	6.371023579587368	19.78336107564684	18.34908338020784	470.9	115.1	1.0983592994727294	0.0	0.0	0.0	0	20090.0	0.5073158533333334	0.3040291760316784	2.61	0.0	372.75	9.03181818181818	268.5	317.8	1.46875	1.0583333333333331	0.4104166666666666	1.0051	1.2857142857142856	250.0	1.29	1.56	2.4317704926373587	10517273.95	4587810.0	6580916.95	3732500.0	1.7631391694574683	3731800.0	720000.0	5.183055555555556	0.0	0.0	0.0	137357.0	112810.0	1.2175959578051592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2499.727400540911	690062.0	2248.0	235464.0	630.0	9451.93244869934	3832.23643246922	6.836	47.94	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	2
2009	4	43371527.800000004	42256927.5	29563987.819585644	1.9402289499135972	2.4161672417375293	62560.70274219559	29626548.52232784	12630378.97767216	13744979.277672164	2.585034982467895	2.5843262487540435	0.7298533830813658	1.120072745360537	24.015	6.556804256135897	6.1681486310226585	22.24761842767621	18.970956053013325	97.5	115.68	0.8338164347072744	0.0	0.0	0.0	0	20091.0	0.3889624110507381	0.29152402605826117	2.64	0.0	387.55	10.18104761904762	245.63	300.63	1.5520833333333333	1.0895833333333331	0.4625	1.0056	1.2285714285714284	230.0	1.31	1.51	2.569167727509371	2759252.0	2366275.0	0.0	0.0	0.0	0.0	0.0	0.0	444510.0	170620.0	2.6052631578947367	182327.0	212645.0	0.8574243457405535	1808625.0	1855000.0	0.975	0.0	0.0	0.0	323790.0	128010.0	2.5294117647058822	0.0	0.0	0.0	2494.8444930886603	1621523.0	4821.0	472747.0	1194.0	9451.93244869934	3832.23643246922	6.8306	49.65	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	3
2009	5	49494817.7	48127960.0	34978192.6326835	1.872392600164229	2.396179533125673	75172.32573763067	35053364.95842113	13074595.041578867	14441452.74157887	2.546510429622977	2.545909759693837	0.7919075257168074	1.1714616364590564	23.674	6.667883693895971	6.02886911182412	21.50292911527401	16.515389442195428	326.6	115.81	0.1135517048327493	0.0	0.0	0.0	0	20091.0	0.3889624110507381	0.29152402605826117	2.72	0.0	425.72	11.41025	236.25	267.88	1.5916666666666666	1.0833333333333333	0.5083333333333333	0.9833	1.182857142857143	235.0	1.38	1.55	2.758047888909506	3726533.3	3440818.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	833477.0	931580.0	0.8946918139075549	1533156.3	1572468.0	0.975	1301700.0	909770.0	1.430801191509942	0.0	0.0	0.0	0.0	0.0	0.0	2574.656892956256	859702.0	2974.0	100971.0	234.0	9451.93244869934	3832.23643246922	6.8235	59.03	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	4
2009	6	45309511.8	43966064.9	30227494.393655527	1.9757569369529817	2.442711265112868	184959.0236799201	30412453.417335447	13553611.482664552	14897058.38266455	2.4954447057776785	2.4979735629641975	0.905439431539246	1.2844111088985404	23.363	6.366233150140947	5.619619888585616	20.46847133247193	16.922552450469126	297.3	115.33	-1.2224348901508342	0.0	0.0	0.0	0	20091.0	0.3889624110507381	0.29152402605826117	2.74	0.0	442.09	12.030045454545457	239.7	256.1	1.58125	1.0833333333333333	0.4979166666666667	0.99776	1.2571428571428571	245.0	1.32	1.56	2.9840644240854908	10084199.0	5967615.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1197379.0	1241295.0	0.9646208193862056	1755000.0	1800000.0	0.975	0.0	0.0	0.0	7057590.0	2885210.0	2.4461269716935683	0.0	0.0	0.0	2394.3525044673484	1515148.0	4670.0	623450.0	1584.0	9451.93244869934	3832.23643246922	6.8334	69.64	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	5
2009	7	45381760.6	44491193.5	31388388.3220767	2.0413930460013394	2.5913404599140084	95520.36678195489	31483908.688858654	13007284.811141346	13897851.911141347	2.569986387637857	2.5606665291402977	0.8641451339370394	1.2297348364045664	23.367	6.701510636497992	6.140540460009644	21.35120918364317	16.89079954522523	315.7	117.95	0.5358566497565218	0.0	0.0	0.0	0	20092.0	0.34489803201480446	0.3041727467173094	2.79	0.0	430.61	10.442045454545454	243.75	263.25	1.6	1.1104166666666666	0.4895833333333333	1.0197	1.314285714285714	255.0	1.3	1.56	3.0759790358389316	3928001.82	2586536.0	0.0	0.0	0.0	0.0	0.0	0.0	1832080.0	718180.0	2.551003926592219	2032921.82	1841356.0	1.104035189284419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2491.892785778956	1767136.0	5407.0	667101.0	1749.0	9451.93244869934	3832.23643246922	6.8317	64.15	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	6
2009	8	42410515.2	41771317.699999996	28802577.746374518	2.1166068696080425	2.736246300507947	184726.5318585024	28987304.27823302	12784013.421766974	13423210.921766981	2.473112480274069	2.4577229914399044	0.9584796722661514	1.351967589647037	22.831	6.340433265998234	5.938628830732772	21.15273447977859	16.39966595649365	279.1	118.24	-0.0415736754451848	0.0	0.0	0.0	0	20092.0	0.34489803201480446	0.3041727467173094	2.8	0.0	497.53	10.549595238095238	251.5	276.4	1.6479166666666667	1.16875	0.4791666666666667	1.0959	1.4285714285714284	260.0	1.36	1.7	3.1400427367881427	14986559.23	9407510.0	8427668.23	3691600.0	2.282931040741142	0.0	0.0	0.0	0.0	0.0	0.0	1099481.0	1161180.0	0.9468652577550424	2730000.0	2800000.0	0.975	0.0	0.0	0.0	2598490.0	1692040.0	1.5357142857142858	0.0	0.0	0.0	2487.5070546767643	1370715.0	4003.0	609508.0	1504.0	9451.93244869934	3832.23643246922	6.8323	71.05	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	7
2009	9	45817975.0	45111893.6	34405950.088361144	2.1228911685986067	2.7800782008503933	1259742.4048850364	35665692.49324618	9446201.106753819	10152282.506753817	2.410920705276728	2.402364346216987	0.9235357575294336	1.3948077080685004	21.924	6.628213926253852	5.949697561428954	20.174547144288454	15.554389006160587	384.5	118.45	-0.7047258657559352	0.0	0.0	0.0	0	20092.0	0.34489803201480446	0.3041727467173094	2.81	0.0	425.01	9.306190476190476	232.25	280.63	1.6458333333333333	1.1979166666666667	0.4479166666666667	1.1181	1.4571428571428569	280.0	1.43	1.48	3.324969818158554	12009340.66	7588260.0	8727700.66	4816000.0	1.812230203488372	0.0	0.0	0.0	0.0	0.0	0.0	490010.0	417490.0	1.1737047593954346	2730000.0	2322320.0	1.1755485893416928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2400.361868643729	1353713.0	4087.0	673492.0	1614.0	9451.93244869934	3832.23643246922	6.8277	69.41	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	8
2009	10	44528894.800000004	43616233.6	32590941.384058196	2.1477867021190935	2.8000534728469932	930024.1309179068	33520965.514976103	10095268.085023899	11007929.285023902	2.5161909662869726	2.5129631640545727	1.000243613813856	1.4816974669596434	20.807	6.208907905055178	5.684654324543604	20.1149934107118	16.11899143879487	521.9	118.63	-1.4035999211757622	0.0	0.0	0.0	0	20093.0	0.341152617912171	0.26555102520316104	2.75	0.0	430.08	9.658340909090908	234.88	271.63	1.6625	1.2145833333333331	0.4479166666666667	1.1228	1.4857142857142858	300.0	1.52	1.76	3.6007999686085017	5687985.65	5731000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86110.65	51000.0	1.6884441176470588	3139500.0	3220000.0	0.975	0.0	0.0	0.0	2381925.0	2443000.0	0.975	0.0	0.0	0.0	2423.6588082853104	904714.0	2986.0	524182.0	1331.0	9451.93244869934	3832.23643246922	6.8267	75.72	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	9
